temperature,humidity,lux,flux
28.75,25.93,111,85.94
28.75,25.96,104,72.92
28.69,25.98,104,67.71
28.69,26.02,111,70.32
28.69,26.09,111,57.3
28.75,26.15,111,72.92
28.69,26.18,111,78.13
28.75,26.2,111,59.9
28.69,26.22,104,52.09
28.69,26.24,88,72.92
28.69,26.25,111,80.73
28.69,26.28,111,88.55
28.69,26.38,111,85.94
28.69,26.48,111,67.71
28.69,26.59,111,83.34
28.69,26.67,111,80.73
28.69,26.75,111,75.53
28.69,26.85,111,67.71
28.62,26.93,111,72.92
28.69,26.99,111,75.53
28.69,27.05,111,72.92
28.69,27.09,111,78.13
28.69,27.14,111,67.71
28.75,27.15,111,67.71
28.81,27.18,111,57.3
28.75,27.21,111,62.5
28.75,27.22,111,52.09
28.75,27.24,111,62.5
28.81,27.25,111,54.69
28.81,27.25,111,59.9
28.81,27.25,111,70.32
28.81,27.25,111,78.13
28.81,27.25,111,67.71
28.81,27.26,111,52.09
28.81,27.27,111,62.5
28.81,27.28,96,52.09
28.81,27.3,96,59.9
28.81,27.31,96,57.3
28.81,27.33,96,52.09
